Year,Category,Value
1993,Holiday Pleasure,170279
1993,Trekking & Mountaineering,69619
1993,Business,19495
1993,Pilgrimage,10429
1993,Official,15812
1993,Conv./ Conf.,5367
1993,Others,2566
1993,Not Specified,0
1994,Holiday Pleasure,168155
1994,Trekking & Mountaineering,76865
1994,Business,23522
1994,Pilgrimage,5475
1994,Official,20431
1994,Conv./ Conf.,5361
1994,Others,26722
1994,Not Specified,0
1995,Holiday Pleasure,183207
1995,Trekking & Mountaineering,84787
1995,Business,21829
1995,Pilgrimage,5257
1995,Official,20090
1995,Conv./ Conf.,5272
1995,Others,42953
1995,Not Specified,0
1996,Holiday Pleasure,209377
1996,Trekking & Mountaineering,88945
1996,Business,25079
1996,Pilgrimage,4802
1996,Official,20191
1996,Conv./ Conf.,6054
1996,Others,39165
1996,Not Specified,0
1997,Holiday Pleasure,249360
1997,Trekking & Mountaineering,91525
1997,Business,27409
1997,Pilgrimage,4068
1997,Official,24106
1997,Conv./ Conf.,5824
1997,Others,19565
1997,Not Specified,0
1998,Holiday Pleasure,261347
1998,Trekking & Mountaineering,112644
1998,Business,24954
1998,Pilgrimage,16164
1998,Official,22123
1998,Conv./ Conf.,5181
1998,Others,21271
1998,Not Specified,0
1999,Holiday Pleasure,290862
1999,Trekking & Mountaineering,107960
1999,Business,23813
1999,Pilgrimage,19198
1999,Official,24132
1999,Conv./ Conf.,5965
1999,Others,19574
1999,Not Specified,0
2000,Holiday Pleasure,255889
2000,Trekking & Mountaineering,118780
2000,Business,29454
2000,Pilgrimage,15801
2000,Official,20832
2000,Conv./ Conf.,5599
2000,Others,17291
2000,Not Specified,0
2001,Holiday Pleasure,187022
2001,Trekking & Mountaineering,100828
2001,Business,18528
2001,Pilgrimage,13816
2001,Official,18727
2001,Conv./ Conf.,0
2001,Others,22316
2001,Not Specified,0
2002,Holiday Pleasure,110143
2002,Trekking & Mountaineering,59279
2002,Business,16990
2002,Pilgrimage,12366
2002,Official,17783
2002,Conv./ Conf.,0
2002,Others,58907
2002,Not Specified,0
2003,Holiday Pleasure,97904
2003,Trekking & Mountaineering,65721
2003,Business,19387
2003,Pilgrimage,21395
2003,Official,21967
2003,Conv./ Conf.,0
2003,Others,111758
2003,Not Specified,0
2004,Holiday Pleasure,167262
2004,Trekking & Mountaineering,69442
2004,Business,13948
2004,Pilgrimage,45664
2004,Official,17088
2004,Conv./ Conf.,0
2004,Others,71893
2004,Not Specified,0
2005,Holiday Pleasure,160259
2005,Trekking & Mountaineering,61488
2005,Business,21992
2005,Pilgrimage,47621
2005,Official,16859
2005,Conv./ Conf.,0
2005,Others,67179
2005,Not Specified,0
2006,Holiday Pleasure,145802
2006,Trekking & Mountaineering,66931
2006,Business,21066
2006,Pilgrimage,59298
2006,Official,18063
2006,Conv./ Conf.,0
2006,Others,72766
2006,Not Specified,0
2007,Holiday Pleasure,217815
2007,Trekking & Mountaineering,101320
2007,Business,24487
2007,Pilgrimage,52594
2007,Official,21670
2007,Conv./ Conf.,8019
2007,Others,78644
2007,Not Specified,22156
2008,Holiday Pleasure,148180
2008,Trekking & Mountaineering,104822
2008,Business,23039
2008,Pilgrimage,45091
2008,Official,43044
2008,Conv./ Conf.,6938
2008,Others,99634
2008,Not Specified,29529
2009,Holiday Pleasure,140992
2009,Trekking & Mountaineering,132929
2009,Business,22758
2009,Pilgrimage,51542
2009,Official,24518
2009,Conv./ Conf.,9985
2009,Others,87134
2009,Not Specified,40098
2010,Holiday Pleasure,263938
2010,Trekking & Mountaineering,70218
2010,Business,21377
2010,Pilgrimage,101335
2010,Official,26374
2010,Conv./ Conf.,9627
2010,Others,52347
2010,Not Specified,57651
2010,Total,602867
2011,Holiday Pleasure,425721
2011,Trekking & Mountaineering,86260
2011,Business,17859
2011,Pilgrimage,63783
2011,Official,24054
2011,Conv./ Conf.,10836
2011,Others,37311
2011,Not Specified,70391
2012,Holiday Pleasure,379627
2012,Trekking & Mountaineering,105015
2012,Business,24785
2012,Pilgrimage,109854
2012,Official,30460
2012,Conv./ Conf.,13646
2012,Others,48540
2012,Not Specified,91165
2013,Holiday Pleasure,437891
2013,Trekking & Mountaineering,97309
2013,Business,30309
2013,Pilgrimage,40678
2013,Official,39881
2013,Conv./ Conf.,15952
2013,Others,62214
2013,Not Specified,73381
2014,Holiday Pleasure,395849
2014,Trekking & Mountaineering,97185
2014,Business,24494
2014,Pilgrimage,98765
2014,Official,32395
2014,Conv./ Conf.,13432
2014,Others,53728
2014,Not Specified,74271
2015,Holiday Pleasure,386065
2015,Trekking & Mountaineering,9162
2015,Business,20876
2015,Pilgrimage,14996
2015,Official,21479
2015,Conv./ Conf.,9038
2015,Others,77354
2015,Not Specified,0
2016,Holiday Pleasure,489451
2016,Trekking & Mountaineering,66490
2016,Business,24322
2016,Pilgrimage,82830
2016,Official,21310
2016,Conv./ Conf.,12801
2016,Others,55797
2016,Not Specified,0
2017,Holiday Pleasure,658153
2017,Trekking & Mountaineering,75217
2017,Business,0
2017,Pilgrimage,141033
2017,Official,0
2017,Conv./ Conf.,65815
2017,Others,0
2017,Not Specified,0
2018,Holiday Pleasure,703843
2018,Trekking & Mountaineering,187692
2018,Business,0
2018,Pilgrimage,169180
2018,Official,0
2018,Conv./ Conf.,112357
2018,Others,0
2018,Not Specified,0
2019,Holiday Pleasure,778173
2019,Trekking & Mountaineering,197786
2019,Business,0
2019,Pilgrimage,171937
2019,Official,0
2019,Conv./ Conf.,49301
2019,Others,0
2019,Not Specified,0
2020,Holiday Pleasure,139202
2020,Trekking & Mountaineering,28530
2020,Business,0
2020,Pilgrimage,35893
2020,Official,0
2020,Conv./ Conf.,26460
2020,Others,0
2020,Not Specified,0
2021,Holiday Pleasure,100843
2021,Trekking & Mountaineering,15549
2021,Business,0
2021,Pilgrimage,11172
2021,Official,0
2021,Conv./ Conf.,23398
2021,Others,0
2021,Not Specified,0
2022,Holiday Pleasure,397820
2022,Trekking & Mountaineering,61701
2022,Business,0
2022,Pilgrimage,79146
2022,Official,0
2022,Conv./ Conf.,76202
2022,Others,0
2022,Not Specified,0
2023,Holiday Pleasure,634301
2023,Trekking & Mountaineering,154262
2023,Business,0
2023,Pilgrimage,132949
2023,Official,0
2023,Conv./ Conf.,93370
2023,Others,0
2023,Not Specified,0
2024,Holiday Pleasure,693119
2024,Trekking & Mountaineering,166394
2024,Business,0
2024,Pilgrimage,175575
2024,Official,0
2024,Conv./ Conf.,112460
2024,Others,0
2024,Not Specified,0
