Conservation Area,Year,Visitors
Annapurna Conservation Area,2010,78926
Annapurna Conservation Area,2011,-
Annapurna Conservation Area,2012,-
Annapurna Conservation Area,2013,-
Annapurna Conservation Area,2014,-
Annapurna Conservation Area,2015,-
Annapurna Conservation Area,2016,83419
Annapurna Conservation Area,2017,144409
Annapurna Conservation Area,2018,172720
Annapurna Conservation Area,2019,181746
Annapurna Conservation Area,2020,103782
Annapurna Conservation Area,2021,4921
Annapurna Conservation Area,2022,5452
Annapurna Conservation Area,2023,107880
Annapurna Conservation Area,2024,240141
Apinappa Conservation Area,2016,29
Apinappa Conservation Area,2017,19
Apinappa Conservation Area,2018,36
Apinappa Conservation Area,2019,38
Apinappa Conservation Area,2020,7
Apinappa Conservation Area,2021,3
Apinappa Conservation Area,2022,16
Apinappa Conservation Area,2023,18
Apinappa Conservation Area,2024,23
Banke National Park,2016,0
Banke National Park,2017,4
Banke National Park,2018,1
Banke National Park,2019,12
Banke National Park,2020,8
Banke National Park,2021,6
Banke National Park,2022,5
Banke National Park,2023,14
Banke National Park,2024,38
Bardiya National Park,2010,3727
Bardiya National Park,2011,4765
Bardiya National Park,2012,5760
Bardiya National Park,2013,12974
Bardiya National Park,2014,14197
Bardiya National Park,2015,
Bardiya National Park,2016,10638
Bardiya National Park,2017,17959
Bardiya National Park,2018,6773
Bardiya National Park,2019,8260
Bardiya National Park,2020,5506
Bardiya National Park,2021,269
Bardiya National Park,2022,3395
Bardiya National Park,2023,7904
Bardiya National Park,2024,8574
Chitwan National Park,2010,84518
Chitwan National Park,2011,122332
Chitwan National Park,2012,126484
Chitwan National Park,2013,153776
Chitwan National Park,2014,173425
Chitwan National Park,2015,178257
Chitwan National Park,2016,87391
Chitwan National Park,2017,139125
Chitwan National Park,2018,118621
Chitwan National Park,2019,142486
Chitwan National Park,2020,92994
Chitwan National Park,2021,2819
Chitwan National Park,2022,34787
Chitwan National Park,2023,101759
Chitwan National Park,2024,126905
Dhorpatan Hunting Reserve,2010,26
Dhorpatan Hunting Reserve,2011,28
Dhorpatan Hunting Reserve,2012,47
Dhorpatan Hunting Reserve,2013,88
Dhorpatan Hunting Reserve,2014,89
Dhorpatan Hunting Reserve,2015,-
Dhorpatan Hunting Reserve,2016,91
Dhorpatan Hunting Reserve,2017,163
Dhorpatan Hunting Reserve,2018,119
Dhorpatan Hunting Reserve,2019,424
Dhorpatan Hunting Reserve,2020,75
Dhorpatan Hunting Reserve,2021,20
Dhorpatan Hunting Reserve,2022,64
Dhorpatan Hunting Reserve,2023,94
Dhorpatan Hunting Reserve,2024,119
Gaurishankar Conservation Area,2010,983
Gaurishankar Conservation Area,2011,-
Gaurishankar Conservation Area,2012,-
Gaurishankar Conservation Area,2013,-
Gaurishankar Conservation Area,2014,-
Gaurishankar Conservation Area,2015,-
Gaurishankar Conservation Area,2016,1840
Gaurishankar Conservation Area,2017,2770
Gaurishankar Conservation Area,2018,2668
Gaurishankar Conservation Area,2019,2528
Gaurishankar Conservation Area,2020,1523
Gaurishankar Conservation Area,2021,30
Gaurishankar Conservation Area,2022,12
Gaurishankar Conservation Area,2023,684
Gaurishankar Conservation Area,2024,1625
Kanchanjunga Conservation Area,2016,502
Kanchanjunga Conservation Area,2017,479
Kanchanjunga Conservation Area,2018,821
Kanchanjunga Conservation Area,2019,806
Kanchanjunga Conservation Area,2020,584
Kanchanjunga Conservation Area,2021,42
Kanchanjunga Conservation Area,2022,146
Kanchanjunga Conservation Area,2023,868
Kanchanjunga Conservation Area,2024,1290
Khaptad National Park,2010,12
Khaptad National Park,2011,22
Khaptad National Park,2012,6
Khaptad National Park,2013,19
Khaptad National Park,2014,47
Khaptad National Park,2015,-
Khaptad National Park,2016,21
Khaptad National Park,2017,26
Khaptad National Park,2018,21
Khaptad National Park,2019,67
Khaptad National Park,2020,16
Khaptad National Park,2021,3
Khaptad National Park,2022,22
Khaptad National Park,2023,80
Khaptad National Park,2024,57
KoshiTappu Wildlife Reserve,2010,456
KoshiTappu Wildlife Reserve,2011,181
KoshiTappu Wildlife Reserve,2012,441
KoshiTappu Wildlife Reserve,2013,4446
KoshiTappu Wildlife Reserve,2014,7349
KoshiTappu Wildlife Reserve,2015,8719
KoshiTappu Wildlife Reserve,2016,-
KoshiTappu Wildlife Reserve,2017,-
KoshiTappu Wildlife Reserve,2018,436
KoshiTappu Wildlife Reserve,2019,388
KoshiTappu Wildlife Reserve,2020,198
KoshiTappu Wildlife Reserve,2021,17
KoshiTappu Wildlife Reserve,2022,126
KoshiTappu Wildlife Reserve,2023,255
KoshiTappu Wildlife Reserve,2024,335
Krishnasar Conservation Area,2016,-
Krishnasar Conservation Area,2017,-
Krishnasar Conservation Area,2018,43
Krishnasar Conservation Area,2019,37
Krishnasar Conservation Area,2020,34
Krishnasar Conservation Area,2021,2
Krishnasar Conservation Area,2022,12
Krishnasar Conservation Area,2023,50
Krishnasar Conservation Area,2024,68
Langtang National Park,2010,10315
Langtang National Park,2011,13838
Langtang National Park,2012,12649
Langtang National Park,2013,13370
Langtang National Park,2014,12552
Langtang National Park,2015,12265
Langtang National Park,2016,5016
Langtang National Park,2017,8254
Langtang National Park,2018,10619
Langtang National Park,2019,12132
Langtang National Park,2020,8242
Langtang National Park,2021,342
Langtang National Park,2022,2498
Langtang National Park,2023,7614
Langtang National Park,2024,11180
Makalu Barun National Park,2010,1323
Makalu Barun National Park,2011,1501
Makalu Barun National Park,2012,1520
Makalu Barun National Park,2013,1523
Makalu Barun National Park,2014,1083
Makalu Barun National Park,2015,1186
Makalu Barun National Park,2016,828
Makalu Barun National Park,2017,1537
Makalu Barun National Park,2018,1252
Makalu Barun National Park,2019,2057
Makalu Barun National Park,2020,1425
Makalu Barun National Park,2021,30
Makalu Barun National Park,2022,516
Makalu Barun National Park,2023,385
Makalu Barun National Park,2024,1111
Manaslu Conservation Area,2016,2287
Manaslu Conservation Area,2017,5745
Manaslu Conservation Area,2018,7200
Manaslu Conservation Area,2019,7655
Manaslu Conservation Area,2020,5388
Manaslu Conservation Area,2021,194
Manaslu Conservation Area,2022,1642
Manaslu Conservation Area,2023,8413
Manaslu Conservation Area,2024,10082
Parsa Wildlife Reserve,2010,-
Parsa Wildlife Reserve,2011,14
Parsa Wildlife Reserve,2012,48
Parsa Wildlife Reserve,2013,192
Parsa Wildlife Reserve,2014,376
Parsa Wildlife Reserve,2015,-
Parsa Wildlife Reserve,2016,235
Parsa Wildlife Reserve,2017,417
Parsa Wildlife Reserve,2018,95
Parsa Wildlife Reserve,2019,15
Parsa Wildlife Reserve,2020,14
Parsa Wildlife Reserve,2021,5
Parsa Wildlife Reserve,2022,8
Parsa Wildlife Reserve,2023,86
Parsa Wildlife Reserve,2024,68
Rara National Park,2010,135
Rara National Park,2011,174
Rara National Park,2012,49
Rara National Park,2013,164
Rara National Park,2014,181
Rara National Park,2015,143
Rara National Park,2016,132
Rara National Park,2017,201
Rara National Park,2018,317
Rara National Park,2019,421
Rara National Park,2020,256
Rara National Park,2021,10
Rara National Park,2022,99
Rara National Park,2023,274
Rara National Park,2024,277
Sagarmatha National Park,2010,32084
Sagarmatha National Park,2011,34645
Sagarmatha National Park,2012,36518
Sagarmatha National Park,2013,36750
Sagarmatha National Park,2014,35157
Sagarmatha National Park,2015,-
Sagarmatha National Park,2016,27794
Sagarmatha National Park,2017,45112
Sagarmatha National Park,2018,56303
Sagarmatha National Park,2019,58030
Sagarmatha National Park,2020,32636
Sagarmatha National Park,2021,2461
Sagarmatha National Park,2022,21210
Sagarmatha National Park,2023,52499
Sagarmatha National Park,2024,49372
SheyPhoksundo National Park,2010,558
SheyPhoksundo National Park,2011,512
SheyPhoksundo National Park,2012,679
SheyPhoksundo National Park,2013,620
SheyPhoksundo National Park,2014,417
SheyPhoksundo National Park,2015,-
SheyPhoksundo National Park,2016,431
SheyPhoksundo National Park,2017,535
SheyPhoksundo National Park,2018,469
SheyPhoksundo National Park,2019,578
SheyPhoksundo National Park,2020,426
SheyPhoksundo National Park,2021,10
SheyPhoksundo National Park,2022,123
SheyPhoksundo National Park,2023,533
SheyPhoksundo National Park,2024,496
ShivapuriNagarjun National Park,2010,11798
ShivapuriNagarjun National Park,2011,15921
ShivapuriNagarjun National Park,2012,82935
ShivapuriNagarjun National Park,2013,165904
ShivapuriNagarjun National Park,2014,180464
ShivapuriNagarjun National Park,2015,103018
ShivapuriNagarjun National Park,2016,-
ShivapuriNagarjun National Park,2017,-
ShivapuriNagarjun National Park,2018,16813
ShivapuriNagarjun National Park,2019,12496
ShivapuriNagarjun National Park,2020,8692
ShivapuriNagarjun National Park,2021,642
ShivapuriNagarjun National Park,2022,5325
ShivapuriNagarjun National Park,2023,11207
ShivapuriNagarjun National Park,2024,12679
Shukla Phata Wildlife Reserve,2016,-
Shukla Phata Wildlife Reserve,2017,-
Shukla Phata Wildlife Reserve,2018,464
