Month,Year,Value
Jan,2014,6169
Jan,2015,6942
Jan,2016,2835
Jan,2017,18354
Jan,2018,12988
Jan,2019,19168
Jan,2020,13978
Jan,2021,1870
Jan,2022,7775
Jan,2023,18509
Jan,2024,18384
Feb,2014,5900
Feb,2015,6215
Feb,2016,3580
Feb,2017,10577
Feb,2018,11107
Feb,2019,12041
Feb,2020,15141
Feb,2021,2761
Feb,2022,7745
Feb,2023,18115
Feb,2024,20489
March,2014,6425
March,2015,7932
March,2016,5190
March,2017,9721
March,2018,18986
March,2019,17059
March,2020,6991
March,2021,3842
March,2022,18834
March,2023,24498
March,2024,29269
April,2014,70267
April,2015,77614
April,2016,24975
April,2017,13497
April,2018,16909
April,2019,11643
April,2020,0
April,2021,1500
April,2022,15284
April,2023,23572
April,2024,17022
May,2014,10092
May,2015,8595
May,2016,24233
May,2017,16677
May,2018,11829
May,2019,23377
May,2020,0
May,2021,0
May,2022,20137
May,2023,27167
May,2024,38906
June,2014,6998
June,2015,3506
June,2016,12380
June,2017,10693
June,2018,19808
June,2019,19166
June,2020,0
June,2021,0
June,2022,25065
June,2023,21318
June,2024,25293
July,2014,3393
July,2015,2873
July,2016,5127
July,2017,7055
July,2018,7544
July,2019,7844
July,2020,0
July,2021,0
July,2022,11566
July,2023,10789
July,2024,8946
August,2014,4093
August,2015,1472
August,2016,4313
August,2017,3913
August,2018,7427
August,2019,8457
August,2020,0
August,2021,499
August,2022,11342
August,2023,8024
August,2024,10057
Sep,2014,5300
Sep,2015,701
Sep,2016,5360
Sep,2017,6641
Sep,2018,8851
Sep,2019,8341
Sep,2020,0
Sep,2021,1386
Sep,2022,11044
Sep,2023,15408
Sep,2024,13817
Oct,2014,8334
Oct,2015,1763
Oct,2016,9076
Oct,2017,15985
Oct,2018,16908
Oct,2019,20909
Oct,2020,0
Oct,2021,6810
Oct,2022,20817
Oct,2023,22881
Oct,2024,28534
Nov,2014,16142
Nov,2015,8109
Nov,2016,28280
Nov,2017,23233
Nov,2018,28629
Nov,2019,29568
Nov,2020,126
Nov,2021,9456
Nov,2022,38689
Nov,2023,28887
Nov,2024,32468
Dec,2014,11103
Dec,2015,4468
Dec,2016,8920
Dec,2017,19098
Dec,2018,31424
Dec,2019,27252
Dec,2020,970
Dec,2021,15608
Dec,2022,42565
Dec,2023,40842
Dec,2024,43376
