Month,Year,Value
January,2014,8397
January,2015,10300
January,2016,6970
January,2017,8846
January,2018,9714
January,2019,13619
January,2020,13107
January,2021,32
January,2022,203
January,2023,3987
January,2024,9610
February,2014,17990
February,2015,17965
February,2016,19913
February,2017,23118
February,2018,19795
February,2019,25868
February,2020,21807
February,2021,62
February,2022,306
February,2023,12522
February,2024,14839
March,2014,20109
March,2015,23289
March,2016,21444
March,2017,28511
March,2018,29061
March,2019,29400
March,2020,10529
March,2021,159
March,2022,626
March,2023,12297
March,2024,18026
April,2014,6879
April,2015,7953
April,2016,5245
April,2017,6092
April,2018,8023
April,2019,8650
April,2020,0
April,2021,133
April,2022,770
April,2023,3942
April,2024,5727
May,2014,2563
May,2015,740
May,2016,3106
May,2017,2639
May,2018,2707
May,2019,3228
May,2020,0
May,2021,0
May,2022,782
May,2023,1665
May,2024,2928
June,2014,2125
June,2015,204
June,2016,1585
June,2017,1392
June,2018,1979
June,2019,2390
June,2020,0
June,2021,0
June,2022,607
June,2023,1191
June,2024,1044
July,2014,2735
July,2015,1506
July,2016,2929
July,2017,2457
July,2018,2850
July,2019,3376
July,2020,0
July,2021,0
July,2022,681
July,2023,1393
July,2024,1719
August,2014,14154
August,2015,13317
August,2016,18007
August,2017,13032
August,2018,19279
August,2019,14738
August,2020,0
August,2021,24
August,2022,1113
August,2023,3545
August,2024,5769
September,2014,8067
September,2015,4461
September,2016,10941
September,2017,8701
September,2018,12095
September,2019,8627
September,2020,0
September,2021,38
September,2022,1496
September,2023,5406
September,2024,4512
October,2014,16458
October,2015,10860
October,2016,15568
October,2017,16596
October,2018,18218
October,2019,18577
October,2020,0
October,2021,157
October,2022,4118
October,2023,9374
October,2024,9661
November,2014,21111
November,2015,22136
November,2016,19094
November,2017,19041
November,2018,27292
November,2019,26772
November,2020,3
November,2021,352
November,2022,7473
November,2023,16411
November,2024,18539
December,2014,12793
December,2015,16449
December,2016,11451
December,2017,15389
December,2018,18167
December,2019,17838
December,2020,23
December,2021,240
December,2022,5767
December,2023,13499
December,2024,13746
