Year,Metric,Value
2001/02,Total_Foreign_Exchange_Earnings_from_Tourism,8654.3
2001/02,As_percent_of_total_merchandise_exports,14.9
2001/02,As_percent_of_total_merchandise_goods_and_services,10.6
2001/02,As_percent_of_total_foreign_exchange_reserves,5.4
2001/02,As_percent_of_GDP,1.9
2002/03,Total_Foreign_Exchange_Earnings_from_Tourism,11747.7
2002/03,As_percent_of_total_merchandise_exports,23.1
2002/03,As_percent_of_total_merchandise_goods_and_services,15.2
2002/03,As_percent_of_total_foreign_exchange_reserves,7.1
2002/03,As_percent_of_GDP,2.4
2003/04,Total_Foreign_Exchange_Earnings_from_Tourism,18147.4
2003/04,As_percent_of_total_merchandise_exports,32.9
2003/04,As_percent_of_total_merchandise_goods_and_services,20.3
2003/04,As_percent_of_total_foreign_exchange_reserves,9.9
2003/04,As_percent_of_GDP,3.4
2004/05,Total_Foreign_Exchange_Earnings_from_Tourism,10463.8
2004/05,As_percent_of_total_merchandise_exports,17.5
2004/05,As_percent_of_total_merchandise_goods_and_services,12.2
2004/05,As_percent_of_total_foreign_exchange_reserves,5.3
2004/05,As_percent_of_GDP,1.8
2005/06,Total_Foreign_Exchange_Earnings_from_Tourism,9555.8
2005/06,As_percent_of_total_merchandise_exports,15.5
2005/06,As_percent_of_total_merchandise_goods_and_services,10.9
2005/06,As_percent_of_total_foreign_exchange_reserves,4.1
2005/06,As_percent_of_GDP,1.5
2006/07,Total_Foreign_Exchange_Earnings_from_Tourism,10125.3
2006/07,As_percent_of_total_merchandise_exports,16.5
2006/07,As_percent_of_total_merchandise_goods_and_services,10.8
2006/07,As_percent_of_total_foreign_exchange_reserves,4.1
2006/07,As_percent_of_GDP,1.4
2007/08,Total_Foreign_Exchange_Earnings_from_Tourism,18653.1
2007/08,As_percent_of_total_merchandise_exports,30.1
2007/08,As_percent_of_total_merchandise_goods_and_services,17.9
2007/08,As_percent_of_total_foreign_exchange_reserves,6
2007/08,As_percent_of_GDP,2.3
