Year,Metric,Type,Value
2013,Flight_Movement,DEP,11807
2013,Flight_Movement,ARR,11812
2013,Flight_Movement,TOTAL,23619
2013,PAX_Movement,OUT,1647235
2013,PAX_Movement,IN,1493067
2013,PAX_Movement,TOTAL,3140302
2014,Flight_Movement,DEP,13605
2014,Flight_Movement,ARR,13603
2014,Flight_Movement,TOTAL,27208
2014,PAX_Movement,OUT,1889448
2014,PAX_Movement,IN,1622199
2014,PAX_Movement,TOTAL,3511647
2015,Flight_Movement,DEP,13281
2015,Flight_Movement,ARR,13283
2015,Flight_Movement,TOTAL,26564
2015,PAX_Movement,OUT,1674664
2015,PAX_Movement,IN,1542498
2015,PAX_Movement,TOTAL,3217162
2016,Flight_Movement,DEP,13560
2016,Flight_Movement,ARR,13558
2016,Flight_Movement,TOTAL,27118
2016,PAX_Movement,OUT,1823598
2016,PAX_Movement,IN,1687144
2016,PAX_Movement,TOTAL,3510742
2017,Flight_Movement,DEP,16680
2017,Flight_Movement,ARR,16682
2017,Flight_Movement,TOTAL,33362
2017,PAX_Movement,OUT,2083150
2017,PAX_Movement,IN,1804695
2017,PAX_Movement,TOTAL,3887845
2019,Flight_Movement,DEP,16951
2019,Flight_Movement,ARR,16946
2019,Flight_Movement,TOTAL,33897
2019,PAX_Movement,OUT,2201775
2019,PAX_Movement,IN,2180458
2019,PAX_Movement,TOTAL,4382233
2019,Flight_Movement,DEP,16212
2019,Flight_Movement,ARR,16213
2019,Flight_Movement,TOTAL,32425
2019,PAX_Movement,OUT,2245338
2019,PAX_Movement,IN,1893426
2019,PAX_Movement,TOTAL,4138764
2020,Flight_Movement,DEP,5121
2020,Flight_Movement,ARR,5135
2020,Flight_Movement,TOTAL,10256
2020,PAX_Movement,OUT,539651
2020,PAX_Movement,IN,566207
2020,PAX_Movement,TOTAL,1105858
2021,Flight_Movement,DEP,5878
2021,Flight_Movement,ARR,5882
2021,Flight_Movement,TOTAL,11760
2021,PAX_Movement,OUT,748327
2021,PAX_Movement,IN,708602
2021,PAX_Movement,TOTAL,1456929
2022,Flight_Movement,DEP,12154
2022,Flight_Movement,ARR,12158
2022,Flight_Movement,TOTAL,24312
2022,PAX_Movement,OUT,1931517
2022,PAX_Movement,IN,1556811
2022,PAX_Movement,TOTAL,3488328
2023,Flight_Movement,DEP,15730
2023,Flight_Movement,ARR,15730
2023,Flight_Movement,TOTAL,31460
2023,PAX_Movement,OUT,2420787
2023,PAX_Movement,IN,2120350
2023,PAX_Movement,TOTAL,4541137
2024,Flight_Movement,DEP,16620
2024,Flight_Movement,ARR,16627
2024,Flight_Movement,TOTAL,33247
2024,PAX_Movement,OUT,2607515
2024,PAX_Movement,IN,2355951
2024,PAX_Movement,TOTAL,4963466
