Year,Metric,Type,Value
2013,Flight_Movement,DEP,34544
2013,Flight_Movement,ARR,34532
2013,Passenger_Movement,IN,769100
2013,Passenger_Movement,OUT,773504
2014,Flight_Movement,DEP,34270
2014,Flight_Movement,ARR,34266
2014,Passenger_Movement,IN,728857
2014,Passenger_Movement,OUT,721701
2015,Flight_Movement,DEP,32944
2015,Flight_Movement,ARR,32921
2015,Passenger_Movement,IN,683130
2015,Passenger_Movement,OUT,680918
2016,Flight_Movement,DEP,36938
2016,Flight_Movement,ARR,36938
2016,Passenger_Movement,IN,880895
2016,Passenger_Movement,OUT,876701
2017,Flight_Movement,DEP,46563
2017,Flight_Movement,ARR,46534
2017,Passenger_Movement,IN,1250102
2017,Passenger_Movement,OUT,1138481
2019,Flight_Movement,DEP,47788
2019,Flight_Movement,ARR,47779
2019,Passenger_Movement,IN,1472082
2019,Passenger_Movement,OUT,1375704
2019,Flight_Movement,DEP,47307
2019,Flight_Movement,ARR,47396
2019,Passenger_Movement,IN,1711753
2019,Passenger_Movement,OUT,1595247
2020,Flight_Movement,DEP,19306
2020,Flight_Movement,ARR,19292
2020,Passenger_Movement,IN,690419
2020,Passenger_Movement,OUT,715358
2021,Flight_Movement,DEP,40585
2021,Flight_Movement,ARR,40587
2021,Passenger_Movement,IN,1797403
2021,Passenger_Movement,OUT,1779539
2022,Flight_Movement,DEP,103886
2022,Flight_Movement,ARR,103849
2022,Passenger_Movement,IN,4216686
2022,Passenger_Movement,OUT,5918407
2023,Flight_Movement,DEP,48510
2023,Flight_Movement,ARR,48479
2023,Passenger_Movement,IN,2064962
2023,Passenger_Movement,OUT,2085364
2024,Flight_Movement,DEP,51377
2024,Flight_Movement,ARR,51352
2024,Passenger_Movement,IN,2262497
2024,Passenger_Movement,OUT,2256761
