Month,Year,Group,Count
January,2012,Nepali,170
February,2012,Nepali,176
March,2012,Nepali,203
April,2012,Nepali,186
May,2012,Nepali,119
June,2012,Nepali,32
July,2012,Nepali,31
August,2012,Nepali,46
September,2012,Nepali,195
October,2012,Nepali,309
November,2012,Nepali,301
December,2012,Nepali,367
January,2012,Foreigner,295
February,2012,Foreigner,324
March,2012,Foreigner,369
April,2012,Foreigner,414
May,2012,Foreigner,313
June,2012,Foreigner,137
July,2012,Foreigner,63
August,2012,Foreigner,139
September,2012,Foreigner,332
October,2012,Foreigner,599
November,2012,Foreigner,525
December,2012,Foreigner,525
January,2013,Nepali,235
February,2013,Nepali,263
March,2013,Nepali,301
April,2013,Nepali,198
May,2013,Nepali,120
June,2013,Nepali,32
July,2013,Nepali,31
August,2013,Nepali,46
September,2013,Nepali,197
October,2013,Nepali,312
November,2013,Nepali,304
December,2013,Nepali,371
January,2013,Foreigner,298
February,2013,Foreigner,327
March,2013,Foreigner,403
April,2013,Foreigner,418
May,2013,Foreigner,316
June,2013,Foreigner,171
July,2013,Foreigner,64
August,2013,Foreigner,140
September,2013,Foreigner,335
October,2013,Foreigner,605
November,2013,Foreigner,530
December,2013,Foreigner,530
January,2014,Nepali,-
February,2014,Nepali,-
March,2014,Nepali,-
April,2014,Nepali,-
May,2014,Nepali,-
June,2014,Nepali,-
July,2014,Nepali,-
August,2014,Nepali,-
September,2014,Nepali,-
October,2014,Nepali,-
November,2014,Nepali,-
December,2014,Nepali,-
January,2014,Foreigner,-
February,2014,Foreigner,-
March,2014,Foreigner,-
April,2014,Foreigner,-
May,2014,Foreigner,-
June,2014,Foreigner,-
July,2014,Foreigner,-
August,2014,Foreigner,-
September,2014,Foreigner,-
October,2014,Foreigner,-
November,2014,Foreigner,-
December,2014,Foreigner,-
January,2015,Nepali,366
February,2015,Nepali,465
March,2015,Nepali,411
April,2015,Nepali,468
May,2015,Nepali,224
June,2015,Nepali,103
July,2015,Nepali,135
August,2015,Nepali,187
September,2015,Nepali,236
October,2015,Nepali,243
November,2015,Nepali,307
December,2015,Nepali,162
January,2015,Foreigner,935
February,2015,Foreigner,822
March,2015,Foreigner,911
April,2015,Foreigner,913
May,2015,Foreigner,90
June,2015,Foreigner,36
July,2015,Foreigner,38
August,2015,Foreigner,152
September,2015,Foreigner,210
October,2015,Foreigner,495
November,2015,Foreigner,534
December,2015,Foreigner,556
January,2016,Nepali,530
February,2016,Nepali,1040
March,2016,Nepali,1020
April,2016,Nepali,1040
May,2016,Nepali,1146
June,2016,Nepali,1350
July,2016,Nepali,980
August,2016,Nepali,1360
September,2016,Nepali,1509
October,2016,Nepali,1640
November,2016,Nepali,1340
December,2016,Nepali,1130
January,2016,Foreigner,870
