Types of Course,Year,Value
MasterofHospitalityManagement,2014,36
MasterofHospitalityManagement,2015,39
MasterofHospitalityManagement,2016,40
MasterofHospitalityManagement,2017,39
MasterofHospitalityManagement,2018,29
MasterofHospitalityManagement,2019,33
MasterofHospitalityManagement,2020,40
MasterofHospitalityManagement,2021,0
MasterofHospitalityManagement,2022,15
MasterofHospitalityManagement,2023,19
MasterofHospitalityManagement,2024,5
Bachelor of Hotel Management,2014,125
Bachelor of Hotel Management,2015,168
Bachelor of Hotel Management,2016,167
Bachelor of Hotel Management,2017,167
Bachelor of Hotel Management,2018,167
Bachelor of Hotel Management,2019,252
Bachelor of Hotel Management,2020,252
Bachelor of Hotel Management,2021,252
Bachelor of Hotel Management,2022,0
Bachelor of Hotel Management,2023,154
Bachelor of Hotel Management,2024,243
BachelorofTravel&TourismManagement,2014,84
BachelorofTravel&TourismManagement,2015,125
BachelorofTravel&TourismManagement,2016,126
BachelorofTravel&TourismManagement,2017,126
BachelorofTravel&TourismManagement,2018,125
BachelorofTravel&TourismManagement,2019,168
BachelorofTravel&TourismManagement,2020,168
BachelorofTravel&TourismManagement,2021,168
BachelorofTravel&TourismManagement,2022,0
BachelorofTravel&TourismManagement,2023,123
BachelorofTravel&TourismManagement,2024,149
Food Preparation & Control,2014,146
Food Preparation & Control,2015,83
Food Preparation & Control,2016,80
Food Preparation & Control,2017,70
Food Preparation & Control,2018,138
Food Preparation & Control,2019,142
Food Preparation & Control,2020,42
Food Preparation & Control,2021,-
Food Preparation & Control,2022,75
Food Preparation & Control,2023,71
Food Preparation & Control,2024,88
Food & Beverage Service,2014,33
Food & Beverage Service,2015,17
Food & Beverage Service,2016,13
Food & Beverage Service,2017,9
Food & Beverage Service,2018,24
Food & Beverage Service,2019,53
Food & Beverage Service,2020,-
Food & Beverage Service,2021,-
Food & Beverage Service,2022,0
Food & Beverage Service,2023,0
Food & Beverage Service,2024,0
Bakery/Indian Sweets,2020,45
Bakery/Indian Sweets,2021,62
Bakery/Indian Sweets,2022,11
Bakery/Indian Sweets,2023,23
Bakery/Indian Sweets,2024,36
Barista Training,2020,8
Barista Training,2021,32
Barista Training,2022,29
Barista Training,2023,23
Barista Training,2024,33
Tourist Guide,2014,312
Tourist Guide,2015,227
Tourist Guide,2016,201
Tourist Guide,2017,174
Tourist Guide,2018,218
Tourist Guide,2019,323
Tourist Guide,2020,26
Tourist Guide,2021,128
Tourist Guide,2022,119
Tourist Guide,2023,144
Tourist Guide,2024,168
Local Guide in Different Areas,2014,18
Local Guide in Different Areas,2015,11
Local Guide in Different Areas,2016,14
Local Guide in Different Areas,2017,114
Local Guide in Different Areas,2018,148
Local Guide in Different Areas,2019,94
Local Guide in Different Areas,2020,-
Local Guide in Different Areas,2021,-
Local Guide in Different Areas,2022,0
Local Guide in Different Areas,2023,323
Local Guide in Different Areas,2024,200
Trekking Guide,2014,1551
Trekking Guide,2015,1772
Trekking Guide,2016,435
Trekking Guide,2017,800
Trekking Guide,2018,1654
Trekking Guide,2019,1175
Trekking Guide,2020,911
Trekking Guide,2021,262
Trekking Guide,2022,154
Trekking Guide,2023,772
Trekking Guide,2024,749
Trekking Porter Guide,2016,61
Trekking Porter Guide,2017,101
Trekking Porter Guide,2018,181
Trekking Porter Guide,2019,332
Trekking Porter Guide,2020,192
Trekking Porter Guide,2021,-
Trekking Porter Guide,2022,18
Trekking Porter Guide,2023,81
Trekking Porter Guide,2024,407
River Guide/Adventure Tourism,2014,44
River Guide/Adventure Tourism,2015,66
River Guide/Adventure Tourism,2016,47
River Guide/Adventure Tourism,2017,85
River Guide/Adventure Tourism,2018,51
River Guide/Adventure Tourism,2019,66
River Guide/Adventure Tourism,2020,110
River Guide/Adventure Tourism,2021,34
River Guide/Adventure Tourism,2022,42
River Guide/Adventure Tourism,2023,0
River Guide/Adventure Tourism,2024,69
Train the Trainer/HRD,2022,0
Train the Trainer/HRD,2023,0
Train the Trainer/HRD,2024,0
Hospitality/Household Mgt.,2014,81
Hospitality/Household Mgt.,2015,51
Hospitality/Household Mgt.,2016,60
Hospitality/Household Mgt.,2017,15
Hospitality/Household Mgt.,2018,41
Hospitality/Household Mgt.,2019,354
Hospitality/Household Mgt.,2020,112782
Hospitality/Household Mgt.,2022,0
Hospitality/Household Mgt.,2023,32
Hospitality/Household Mgt.,2024,159
Tourism In-service Training,2014,221
Tourism In-service Training,2015,105
Tourism In-service Training,2016,77
Tourism In-service Training,2017,156
Tourism In-service Training,2018,112
Tourism In-service Training,2019,177
Tourism In-service Training,2020,79
Tourism In-service Training,2021,137
Tourism In-service Training,2022,149
Tourism In-service Training,2023,0
Tourism In-service Training,2024,0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2014,133
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2015,608
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2016,540
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2017,436
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2018,431
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2019,501
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2020,41184
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2021,174
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2022,366
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2023,472
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2024,192
