Year,Age_Group,Value,Total
1995,0-15,22878,363395
1995,16-30,106603,363395
1995,31-45,120212,363395
1995,46-60,76647,363395
1995,60+,37055,363395
1995,Not_Specified,-,363395
1996,0-15,22185,393613
1996,16-30,94924,393613
1996,31-45,116307,393613
1996,46-60,89751,393613
1996,60+,70446,393613
1996,Not_Specified,-,393613
1997,0-15,23840,421857
1997,16-30,121286,421857
1997,31-45,126828,421857
1997,46-60,107111,421857
1997,60+,42792,421857
1997,Not_Specified,-,421857
1998,0-15,26763,463684
1998,16-30,122103,463684
1998,31-45,151846,463684
1998,46-60,121190,463684
1998,60+,41782,463684
1998,Not_Specified,-,463684
1999,0-15,30967,491504
1999,16-30,150307,491504
1999,31-45,155985,491504
1999,46-60,113314,491504
1999,60+,40913,491504
1999,Not_Specified,-,491504
2000,0-15,19136,463646
2000,16-30,119816,463646
2000,31-45,148063,463646
2000,46-60,125140,463646
2000,60+,51491,463646
2000,Not_Specified,-,463646
2001,0-15,14608,361237
2001,16-30,95801,361237
2001,31-45,115678,361237
2001,46-60,93621,361237
2001,60+,41529,361237
2001,Not_Specified,-,361237
2002,0-15,12425,275468
2002,16-30,67774,275468
2002,31-45,99622,275468
2002,46-60,67017,275468
2002,60+,28630,275468
2002,Not_Specified,-,275468
2003,0-15,16056,338132
2003,16-30,78357,338132
2003,31-45,99740,338132
2003,46-60,85753,338132
2003,60+,58226,338132
2003,Not_Specified,-,338132
2004,0-15,38734,385297
2004,16-30,84125,385297
2004,31-45,128267,385297
2004,46-60,96920,385297
2004,60+,37251,385297
2004,Not_Specified,-,385297
2005,0-15,30429,375398
2005,16-30,57115,375398
2005,31-45,114103,375398
2005,46-60,106077,375398
2005,60+,67674,375398
2005,Not_Specified,-,375398
2006,0-15,37433,383926
2006,16-30,75626,383926
2006,31-45,123541,383926
2006,46-60,95260,383926
2006,60+,52066,383926
2006,Not_Specified,-,383926
2007,0-15,38870,526705
2007,16-30,112879,526705
2007,31-45,164488,526705
2007,46-60,130756,526705
2007,60+,69927,526705
2007,Not_Specified,9785,526705
2008,0-15,42581,500277
2008,16-30,106596,500277
2008,31-45,150171,500277
2008,46-60,121387,500277
2008,60+,60531,500277
2008,Not_Specified,19011,500277
2009,0-15,84891,509956
2009,16-30,140805,509956
2009,31-45,141955,509956
2009,46-60,99197,509956
2009,60+,39638,509956
2009,Not_Specified,3470,509956
2010,0-15,41156,602867
2010,16-30,120395,602867
2010,31-45,189852,602867
2010,46-60,172800,602867
2010,60+,64593,602867
2010,Not_Specified,14071,602867
2011,0-15,32795,736215
2011,16-30,171081,736215
2011,31-45,212176,736215
2011,46-60,177983,736215
2011,60+,82726,736215
2011,Not_Specified,59454,736215
2012,0-15,35468,803092
2012,16-30,181558,803092
2012,31-45,231117,803092
2012,46-60,201835,803092
2012,60+,109239,803092
2012,Not_Specified,43875,803092
2013,0-15,46262,797616
2013,16-30,190630,797616
2013,31-45,237690,797616
2013,46-60,195416,797616
2013,60+,115654,797616
2013,Not_Specified,11964,797616
2014,0-15,50441,790118
2014,16-30,185685,790118
2014,31-45,235738,790118
2014,46-60,183582,790118
2014,60+,106666,790118
2014,Not_Specified,28007,790118
2015,0-15,19614,538970
2015,16-30,123444,538970
2015,31-45,157416,538970
2015,46-60,129614,538970
2015,60+,74518,538970
2015,Not_Specified,34365,538970
2016,0-15,29825,753002
2016,16-30,154960,753002
2016,31-45,218479,753002
2016,46-60,199139,753002
2016,60+,130627,753002
2016,Not_Specified,19972,753002
2017,0-15,35332,940218
2017,16-30,217143,940218
2017,31-45,292827,940218
2017,46-60,244342,940218
2017,60+,141316,940218
2017,Not_Specified,9258,940218
2018,0-15,54870,1173072
2018,16-30,269648,1173072
2018,31-45,360237,1173072
2018,46-60,303452,1173072
2018,60+,173299,1173072
2018,Not_Specified,11566,1173072
2019,0-15,57523,1197191
2019,16-30,254399,1197191
2019,31-45,383155,1197191
2019,46-60,305651,1197191
2019,60+,176872,1197191
2019,Not_Specified,19591,1197191
2020,0-15,9768,230085
2020,16-30,43403,230085
2020,31-45,67829,230085
2020,46-60,61874,230085
2020,60+,47211,230085
2020,Not_Specified,0,230085
2021,0-15,11142,150962
2021,16-30,30713,150962
2021,31-45,64164,150962
2021,46-60,35351,150962
2021,60+,9036,150962
2021,Not_Specified,556,150962
2022,0-15,48664,614869
2022,16-30,121096,614869
2022,31-45,208299,614869
2022,46-60,155985,614869
2022,60+,78660,614869
2022,Not_Specified,2165,614869
2023,0-15,61316,1014882
2023,16-30,189790,1014882
2023,31-45,317170,1014882
2023,46-60,272342,1014882
2023,60+,169791,1014882
2023,Not_Specified,4473,1014882
2024,0-15,64817,1147548
2024,16-30,213511,1147548
2024,31-45,352308,1147548
2024,46-60,309434,1147548
2024,60+,202907,1147548
2024,Not_Specified,4571,1147548
